Year	Plot	Treat_W	Treat_N	biomass_g	grass_per	for_per	bare_per	litter_per	total_live
2008	G01LXN	X	N	39.82	5	95		0	100
2008	G01LXN	X	N	38.18	5	95		0	100
2008	G01RXX	X	X	27.67	1	99		0	100
2008	G01RXX	X	X	12.16	10	90		0	100
2008	G02LAN	A	N	38.31	20	80		0	100
2008	G02LAN	A	N	66.46	60	40		0	100
2008	G02RAX	A	X	31.13	40	60		0	100
2008	G02RAX	A	X	40.58	40	60		0	100
2008	G03LRX	R	X	21.02	25	75		0	100
2008	G03LRX	R	X	6.12	5	95		0	100
2008	G03RRN	R	N	16.58	3	97		0	100
2008	G03RRN	R	N	11.21	0	100		0	100
2008	G04LXX	X	X	25.63	25	75		0	100
2008	G04LXX	X	X	19.38	10	90		0	100
2008	G04RXN	X	N	27.98	25	75		0	100
2008	G04RXN	X	N	31.72	1	99		0	100
2008	G05LRN	R	N	10.38	1	99		0	100
2008	G05LRN	R	N	5.46	0	100		0	100
2008	G05RRX	R	X	11.25	5	95		0	100
2008	G05RRX	R	X	8.6	5	95		0	100
2008	G06LAN	A	N	66.83	0	100		0	100
2008	G06LAN	A	N	29.97	5	95		0	100
2008	G06RAX	A	X	24.41	1	99		0	100
2008	G06RAX	A	X	53.24	10	90		0	100
2008	G06RAX	A	X	40.83	5	95		0	100
2008	G07LRX	R	X	10.11	1	99		0	100
2008	G07LRX	R	X	20.81	1	99		0	100
2008	G07RRN	R	N	19.02	1	99		0	100
2008	G07RRN	R	N	10.79	1	99		0	100
2008	G08LXX	X	X	17.36	40	60		0	100
2008	G08LXX	X	X	10.28	5	95		0	100
2008	G08RXN	X	N	38.01	3	97		0	100
2008	G08RXN	X	N	24.6	10	90		0	100
2008	G09LAX	A	X	34.55	25	75		0	100
2008	G09LAX	A	X	51.76	15	85		0	100
2008	G09RAN	A	N	30.9	20	80		0	100
2008	G09RAN	A	N	21.02	5	95		0	100
2008	G10LAX	A	X	29.82	40	60		0	100
2008	G10LAX	A	X	18.75	60	40		0	100
2008	G10RAN	A	N	59.35	90	10		0	100
2008	G10RAN	A	N	38.09	5	95		0	100
2008	G11LRN	R	N	17.13	2	98		0	100
2008	G11LRN	R	N	25.52	5	95		0	100
2008	G11RRX	R	X	16.49	3	97		0	100
2008	G11RRX	R	X	22.26	5	95		0	100
2008	G12LXN	X	N	22.8	0	100		0	100
2008	G12LXN	X	N	39.51	1	99		0	100
2008	G12RXX	X	X	21.34	3	97		0	100
2008	G12RXX	X	X	16.74	20	80		0	100
2008	G13LAX	A	X	46.72	10	90		0	100
2008	G13LAX	A	X	53.52	20	80		0	100
2008	G13RAN	A	N	58.68	25	75		0	100
2008	G13RAN	A	N	40.74	50	50		0	100
2008	G14LRN	R	N	24.43	5	95		0	100
2008	G14LRN	R	N	25.43	5	95		0	100
2008	G14RRX	R	X	13.87	1	99		0	100
2008	G14RRX	R	X	14.57	10	90		0	100
2008	G15LRN	R	N	14.22	5	95		0	100
2008	G15LRN	R	N	23.36	30	70		0	100
2008	G15RRX	R	X	17.22	5	95		0	100
2008	G15RRX	R	X	9.83	50	50		0	100
2008	G16LXN	X	N	38.83	10	90		0	100
2008	G16LXN	X	N	44.86	1	99		0	100
2008	G16RXX	X	X	30.55	5	95		0	100
2008	G16RXX	X	X	31.3	15	85		0	100
2008	G17LAN	A	N	53.36	40	60		0	100
2008	G17LAN	A	N	70.67	5	95		0	100
2008	G17RAX	A	X	42.23	15	85		0	100
2008	G17RAX	A	X	34.36	25	75		0	100
2008	G18LXN	X	N	43.91	50	50		0	100
2008	G18LXN	X	N	39.83	1	99		0	100
2008	G18RXX	X	X	33.85	5	95		0	100
2008	G18RXX	X	X	32.62	1	99		0	100
2008	G19LXX	X	X	20.31	10	70	20	20	80
2008	G19LXX	X	X	30.84	20	80		0	100
2008	G19RXN	X	N	29.62	20	80		0	100
2008	G19RXN	X	N	54.5	5	95		0	100
2008	G20LRX	R	X	19.63	10	85	5	5	95
2008	G20LRX	R	X	14.77	10	90		0	100
2008	G20RRN	R	N	14.86	5	95		0	100
2008	G20RRN	R	N	19.8	2	98		0	100
2008	G21LRX	R	X	13.95	20	80		0	100
2008	G21LRX	R	X	12.63	1	99		0	100
2008	G21RRN	R	N	17.48	80	20		0	100
2008	G21RRN	R	N	12.8	40	60		0	100
2008	G22LXX	X	X	62.69	70	30		0	100
2008	G22LXX	X	X	30.34	5	95		0	100
2008	G22RXN	X	N	35.75	50	50		0	100
2008	G22RXN	X	N	56.27	20	80		0	100
2008	G23LAX	A	X	51.26	90	5	5	5	95
2008	G23LAX	A	X	68.69	40	60		0	100
2008	G23RAN	A	N	69.39	65	35		0	100
2008	G23RAN	A	N	52.5	75	25		0	100
2008	G24LAN	A	N	33.52	30	45	15	25	75
2008	G24LAN	A	N	41.26	5	95		0	100
2008	G24RAX	A	X	25.98	37.5	37.5	25	25	75
2008	G24RAX	A	X	24.23	20	80		0	100
2009	G01LXN	X	N	63.82	95	5	0	5	100
2009	G01LXN	X	N	51.21	25	75	0	1	100
2009	G01RXX	X	X	56.52	5	95	0	0	100
2009	G01RXX	X	X	32.85	40	50	20	0	110
2009	G02LAX	A	X	63.6	90	10	0	5	100
2009	G02LAX	A	X	48.86	95	5	0	3	100
2009	G02RAN	A	N	78.75	90	3	2	5	95
2009	G02RAN	A	N	59.16	85	10	1	1	96
2009	G03LRX	R	X	13.4	40	30	20	2	90
2009	G03LRX	R	X	22.6	50	45	1	2	96
2009	G03RRN	R	N	10.63	15	3	50	33	68
2009	G03RRN	R	N	19.44	40	2	10	40	52
2009	G04LXX	X	X	25.88	60	30	0	10	90
2009	G04LXX	X	X	29.15	50	30	10	10	90
2009	G04RXN	X	N	56.31	60	30	0	10	90
2009	G04RXN	X	N	52.91	65	25	0	10	90
2009	G05LRN	R	N	10.55	10	15	30	45	55
2009	G05LRN	R	N	13.58	<1	50	45	5	95
2009	G05RRX	R	X	11.86	10	60	20	10	90
2009	G05RRX	R	X	12.19	50	48	0	2	98
2009	G06LAN	A	N	116.32	65	30	0	5	95
2009	G06LAN	A	N	99.92	67	30	0	3	97
2009	G06RAX	A	X	38.68	60	40	0	0	100
2009	G06RAX	A	X	40.02	40	50	0	0	90
2009	G07LRX	R	X	17.64	20	40	2	35	62
2009	G07LRX	R	X	11.04	1	91	2	2	98
2009	G07RRN	R	N	22.35	0	98	0	2	98
2009	G07RRN	R	N	22.49	30	70	0	1	100
2009	G08LXX	X	X	46.46	98	1	1	0	100
2009	G08LXX	X	X	23.4	10	80	0	0	90
2009	G08RXN	X	N	25.38	90	0	0	10	90
2009	G08RXN	X	N	78.58	70	30	0	1	100
2009	G09LAX	A	X	25.86	10	40	50	1	100
2009	G09LAX	A	X	32.9	50	25	25	0	100
2009	G09RAN	A	N	39.05	80	15	2	3	97
2009	G09RAN	A	N	42.3	90	10	0	0	100
2009	G10LAX	A	X	26.31	92	5	0	3	97
2009	G10LAX	A	X	45.53	65	35	0	0	100
2009	G10RAN	A	N	81.34	99	1	0	0	100
2009	G10RAN	A	N	93.28	90	5	0	0	95
2009	G11LRN	R	N	25.1	70	10	0	0	80
2009	G11LRN	R	N	11.41	10	10	75	1	95
2009	G11RRX	R	X	19.12	60	20	30	0	110
2009	G11RRX	R	X	13.98	40	30	30	0	100
2009	G12LXN	X	N	36.24	68	2	30	0	100
2009	G12LXN	X	N	40.01	10	90	0	0	100
2009	G12RXX	X	X	35.41	50	50	10	0	110
2009	G12RXX	X	X	49.16	20	80	20	0	120
2009	G13LAX	A	X	62.54	99	<1	0	0	99
2009	G13LAX	A	X	38.64	20	75	5	0	100
2009	G13RAN	A	N	78.05	100	0	0	0	100
2009	G13RAN	A	N	134.5	100	0	0	0	100
2009	G14LRN	R	N	19.53	50	47	0	3	97
2009	G14LRN	R	N	16.88	2	85	3	10	90
2009	G14RRX	R	X	15.88	30	65	4	1	99
2009	G14RRX	R	X	10.8	<1	35	5	60	40
2009	G15LRN	R	N	11.24	<1	80	10	10	90
2009	G15LRN	R	N	19.99	55	25	0	20	80
2009	G15RRX	R	X	17.39	70	10	15	5	95
2009	G15RRX	R	X	23.59	5	90	0	5	95
2009	G16LXN	X	N	56.7	100	0	0	0	100
2009	G16LXN	X	N	69.68	1	99	0	0	100
2009	G16RXX	X	X	63.92	90	5	5	0	100
2009	G16RXX	X	X	24.28	50	45	30	5	125
2009	G17LAN	A	N	79.02	40	40	0	20	80
2009	G17LAN	A	N	65.54	98	2	0	0	100
2009	G17RAX	A	X	54.88	60	30	0	10	90
2009	G17RAX	A	X	48.49	60	25	0	15	85
2009	G18LXN	X	N	46.36	99	<1	0	0	99
2009	G18LXN	X	N	58.55	99	1	0	0	100
2009	G18RXX	X	X	50.69	90	5	0	4	95
2009	G18RXX	X	X	36.31	60	30	0	10	90
2009	G19LXX	X	X	34.6	50	50	0	0	100
2009	G19LXX	X	X	21.43	50	20	30	0	100
2009	G19RXN	X	N	60.28	90	0	0	10	90
2009	G19RXN	X	N	36.12	60	10	0	30	70
2009	G20LRX	R	X	9.16	10	84	3	3	97
2009	G20LRX	R	X	18.31	49	50	0	1	99
2009	G20RRN	R	N	16.6	10	60	10	20	80
2009	G20RRN	R	N	18.82	10	60	20	10	90
2009	G21LRX	R	X	14.66	20	60	20	0	100
2009	G21LRX	R	X	11.29	15	65	25	1	105
2009	G21RRN	R	N	13.5	3	75	10	10	88
2009	G21RRN	R	N	14.77	20	20	50	10	90
2009	G22LXX	X	X	50.68	95	0	0	5	95
2009	G22LXX	X	X	62.86	85	5	0	10	90
2009	G22RXN	X	N	42.94	99	0	0	1	99
2009	G22RXN	X	N	59.19	99	<1	0	0	99
2009	G23LAX	A	X	62.58	98	2	0	0	100
2009	G23LAX	A	X	40.57	98	2	0	0	100
2009	G23RAN	A	N	71.62	97	0	0	2	98
2009	G23RAN	A	N	84.74	95	0	0	5	95
2009	G24LAN	A	N	96.25	100	<1	0	0	100
2009	G24LAN	A	N	81.12	100	0	0	0	100
2009	G24RAX	A	X	55.68	38	60	0	2	98
2009	G24RAX	A	X	50.88	90	5	0	5	95
2010	G01LXN	X	N	28.38	70	0	10	20	70
2010	G01LXN	X	N	64.33	70	20	0	10	90
2010	G01LXN	X	N	55.6	90	10	0	0	100
2010	G01LXN	X	N	76.18	70	15	0	15	85
2010	G01RXX	X	X	42.77	60	25	5	10	85
2010	G01RXX	X	X	34.97	60	20	10	10	80
2010	G01RXX	X	X	49.34	60	20	0	20	80
2010	G01RXX	X	X	34.18	40	15	40	5	55
2010	G02LAX	A	X	27.97	85	5	0	10	90
2010	G02LAX	A	X	52.72	60	30	0	10	90
