Plot_code	Code	Year	Treat_W	Treat_N	Area	bare ground	litter	ACMI	AMME	ANAR	ARCA	AVBA	AVFA	AVspp	BLCR	BRADIS	BRDI	BRHO	BRMA	BRNI	CAAF	CABI	CABU	CACI	CAMA	CAMI	CASP	CEME	CHCA	CHPO	COBO	COCO	CRBA	CRCO	CRIN	DICA	ENCA	ERBO	ERCI	ERFA	ERFO	ERMO	ERPA	ERspp	EUCH	GAAN	GAAP	GIAN	GNACAL	HASQ	HEFA	HIIN	HOspp	HYGL	LAAU	LACA	LECO	LEFI	LOMU	LOSC	LOspp	LUBI	LUHI	LUTR	LUspp	MAFA	MALA	MARMAC	MASA	MAVU	MEIM	MEIN	MEPO	MICA	MILA	NALE	NAPU	PHCA	PHDI	POAN	RHIL	RHIN	RHOV	RIAU	RIMA	SAAP	SAME	SAMMEX	SCCA	SEVU	SIGA	SONOLE	SOXA	STspp	TRspp	TRWO	VIVI	VUMI	VUMY	Unk01	Unk02	unkGR1001	unkGR1002	Total
S25LRX	S25L	2009	R	X	PP	1	2				3								60																	<1																					15	<1				<1														<1										<1	15												12			0	0	108
S25RRN	S25R	2009	R	N	PP	5	5				2								65																	<1															<1	<1					10	1	<1			<1						1								<1											15												20			0	0	124
S26LAX	S26L	2009	A	X	PP	<1	<1				5						1	<1	7																	<1									<1						1	1					15					10														3											50												7			0	0	100
S26RAN	S26R	2009	A	N	PP	<1	<1			<1	5								15															1		<1			<1			2			<1						7	1					7					3					7									1											40												15			0	0	104
S27LXN	S27L	2009	X	N	PP	2	<1				3						<1		40															<1																	40	<1					<1										2									4											18															0	0	109
S27RXX	S27R	2009	X	X	PP	5	2				6							<1	15															5																	10	2										1					15									8											12	1											30			0	0	112
S28LRN	S28L	2009	R	N	PP	8	15												65																	<1										4				3	1	<1	<1				8			4		1						1								6											2						<1						3			0	0	121
S28RRX	S28R	2009	R	X	PP	5	10				3								60																	<1									<1						1				<1		5			<1		2				12										5											3												<1			0	0	106
S29LXN	S29L	2009	X	N	PP	<1	2										<1		35																	<1									<1						35	<1					2		<1			20				6										3											1						4									0	0	108
S29RXX	S29R	2009	X	X	PP	3	1											<1	45															<1		<1									<1						1	<1					15					15				5	1									5											8						<1						1			0	0	100
S30LAX	S30L	2009	A	X	PP	1	<1				2								50																	<1															7	<1								3		30					1									5											10						2			<1			4			0	0	115
S30RAN	S30R	2009	A	N	PP	<1	1										3	<1	40																	<1			1					5	<1	2					10	<1	<1				6			1		6				2	3									10											10												5			0	0	105
S31LAN	S31L	2009	A	N	PP	<1	<1				5						<1		20						<1											<1			5												30	<1								2		8					3	<1								15											5					<1							8	<1		0	0	101
S31RAX	S31R	2009	A	X	PP	5	2				1								10						<1											<1															8						10			2		40					5									6											8												1	<1		0	0	98
S32LXN	S32L	2009	X	N	PP	<1	<1				5								65	<1																<1								5							3						20		<1	<1		15														5											1															0	0	119
S32RXX	S32R	2009	X	X	PP	<1	2				<1							<1	30																	<1															15	<1					5			<1		40					6									8											5						<1									0	0	111
S33LRX	S33L	2009	R	X	PP	7	8				5								25																	<1															<1	<1					15			2		30														3											10						1									0	0	106
S33RRN	S33R	2009	R	N	PP	12	20				<1								2																	<1															<1	1			<1		18			3		40					2									4											3						3									0	0	108
S34LXN	S34L	2009	X	N	PP	5	<1				1							<1	10									<1								<1								10							4	1					50			1		25					1									3											5												<1			0	0	116
