"","jar","jar_weight","plot","plant","depth","soil_jar","density_40","density_2H","clay_p","silt_p","sand_p"
"1",1,174.44,"G01R","G",0,219.18,1.01,1.0065,14.52838623156,7.82297720160943,77.6486365668306
"2",2,194.94,"G02L","G",0,239.74,1.009,1.0045,10.0446428571427,10.0446428571427,79.9107142857145
"3",3,210.02,"G03","G",0,254.99,1.0075,1.0033,7.33822548365595,9.33955970647093,83.3222148098731
"4",4,194.88,"G04L","G",0,239.11,1.007,1.0035,7.91318109880185,7.91318109880134,84.1736378023968
"5",5,201.96,"G05R","G",0,247.03,1.007,1.003,6.65631240292854,8.87508320390505,84.4686043931664
"6",6,210.34,"G06R","G",0,255.08,1.008,1.0039,8.71703173893611,9.16405900759944,82.1189092534645
"7",7,195.53,"G07L","G",0,240.8,1.007,1.0032,7.06869891760568,8.39407996465606,84.5372211177383
"8",8,213.73,"G08L","G",0,259.09,1.0071,1.0041,9.03880070546736,6.61375661375687,84.3474426807758
"9",9,175.4,"G09L","G",0,220.93,1.0079,1.004,8.78541620909291,8.56578080386561,82.6488029870415
"10",10,212.18,"G10L","G",0,257.62,1.0078,1.004,8.80281690140846,8.36267605633809,82.8345070422534
"11",11,215.1,"G11R","G",0,260.07,1.0085,1.004,8.89481876806761,10.0066711140759,81.0985101178564
"12",12,201.75,"G12R","G",0,246.4,1.0073,1.0042,9.40649496080623,6.94288913773819,83.6506159014556
"13",13,214.79,"G13L","G",0,258.99,1.007,1.0044,9.95475113122162,5.88235294117633,84.1628959276021
"14",14,202.06,"G14R","G",0,246.95,1.008,1.004,8.91067052795724,8.91067052795723,82.1786589440855
"15",15,211.38,"G15R","G",0,259.53,1.0082,1.0041,8.51505711318794,8.51505711318794,82.9698857736241
"16",16,174.44,"G16R","G",0,219.29,1.0098,1.0043,9.58751393533996,12.2630992196211,78.1493868450389
"17",17,194.94,"G17R","G",0,239.97,1.008,1.004,8.88296691094826,8.88296691094826,82.2340661781035
"18",18,210.02,"G18R","G",0,259.87,1.008,1.004,8.02407221664996,8.02407221664995,83.9518555667001
"19",19,195,"G19L","G",0,240.06,1.0073,1.0037,8.21127385707953,7.98934753661795,83.7993786063025
"20",20,214.22,"G20L","G",0,256.56,1.0083,1.0042,9.91969768540383,9.68351440717996,80.3967879074162
"21",21,202,"G21L","G",0,247.09,1.008,1.0045,9.98003992015957,7.76225327123544,82.257706808605
"22",22,195.53,"G22L","G",0,240.53,1.0093,1.0052,11.5555555555558,9.11111111111109,79.3333333333331
"23",23,213.73,"G23L","G",0,254.92,1.0078,1.006,14.5666423889294,4.36999271667887,81.0633648943918
"24",24,175.4,"G24R","G",0,219.96,1.0075,1.004,8.97666068222622,7.85457809694807,83.1687612208257
"25",25,202,"G01R","G",15,246.78,1.0105,1.006,13.3988387673068,10.04912907548,76.5520321572131
"26",26,175.51,"G02L","G",15,220.56,1.009,1.0049,10.8768035516091,9.10099889012206,80.0221975582688
"27",27,210.69,"G03","G",15,255.88,1.008,1.004,8.85151582208454,8.85151582208453,82.2969683558309
"28",28,202.06,"G04L","G",15,247.12,1.0075,1.0032,7.10164225477162,9.54283177984902,83.3555259653794
"29",29,212.18,"G05R","G",15,256.72,1.0075,1.004,8.98069151324652,7.85810507409083,83.1612034126626
"30",30,215.1,"G06R","G",15,256.14,1.008,1.004,9.74658869395713,9.74658869395712,80.5068226120858
"31",31,201.75,"G07L","G",15,247,1.007,1.0036,7.95580110497248,7.5138121546958,84.5303867403317
"32",32,214.79,"G08L","G",15,259.65,1.0072,1.0041,9.13954525189477,6.9103878733841,83.9500668747211
