jar	jar_weight	plot	plant	depth	soil_jar	density_40	density_2H
1	174.44	G01R	G	0	219.18	1.01	1.0065
2	194.94	G02L	G	0	239.74	1.009	1.0045
3	210.02	G03	G	0	254.99	1.0075	1.0033
4	194.88	G04L	G	0	239.11	1.007	1.0035
5	201.96	G05R	G	0	247.03	1.007	1.003
6	210.34	G06R	G	0	255.08	1.008	1.0039
7	195.53	G07L	G	0	240.8	1.007	1.0032
8	213.73	G08L	G	0	259.09	1.0071	1.0041
9	175.4	G09L	G	0	220.93	1.0079	1.004
10	212.18	G10L	G	0	257.62	1.0078	1.004
11	215.1	G11R	G	0	260.07	1.0085	1.004
12	201.75	G12R	G	0	246.4	1.0073	1.0042
13	214.79	G13L	G	0	258.99	1.007	1.0044
14	202.06	G14R	G	0	246.95	1.008	1.004
15	211.38	G15R	G	0	259.53	1.0082	1.0041
16	174.44	G16R	G	0	219.29	1.0098	1.0043
17	194.94	G17R	G	0	239.97	1.008	1.004
18	210.02	G18R	G	0	259.87	1.008	1.004
19	195	G19L	G	0	240.06	1.0073	1.0037
20	214.22	G20L	G	0	256.56	1.0083	1.0042
21	202	G21L	G	0	247.09	1.008	1.0045
22	195.53	G22L	G	0	240.53	1.0093	1.0052
23	213.73	G23L	G	0	254.92	1.0078	1.006
24	175.4	G24R	G	0	219.96	1.0075	1.004
25	202	G01R	G	15	246.78	1.0105	1.006
26	175.51	G02L	G	15	220.56	1.009	1.0049
27	210.69	G03	G	15	255.88	1.008	1.004
28	202.06	G04L	G	15	247.12	1.0075	1.0032
29	212.18	G05R	G	15	256.72	1.0075	1.004
30	215.1	G06R	G	15	256.14	1.008	1.004
31	201.75	G07L	G	15	247	1.007	1.0036
32	214.79	G08L	G	15	259.65	1.0072	1.0041
33	202.06	G09L	G	15	246.88	1.0081	1.005
34	211.38	G10L	G	15	256.89	1.0073	1.0042
35	174.44	G11R	G	15	219.92	1.0077	1.0041
36	194.94	G12R	G	15	239.62	1.0072	1.0045
37	210.02	G13L	G	15	259.68	1.0072	1.0045
38	195	G14R	G	15	240.4	1.0075	1.0041
39	214.22	G15R	G	15	256.41	1.008	1.0041
40	202	G16R	G	15	247.22	1.0098	1.0041
41	175.51	G17R	G	15	220.16	1.008	1.004
42	210.69	G18R	G	15	255.23	1.008	1.0042
43	194.96	G19L	G	15	239.82	1.0087	1.004
44	211.19	G20L	G	15	256.11	1.0086	1.005
45	194.88	G21L	G	15	239.56	1.0085	1.005
46	201.75	G22L	G	15	246.73	1.0091	1.0058
47	214.79	G23L	G	15	258.05	1.009	1.0061
48	202.06	G24R	G	15	246.63	1.008	1.0041
49	194.88	G01R	G	30	239.89	1.01	1.006
50	201.96	G02L	G	30	246.97	1.009	1.005
51	210.34	G03	G	30	255.14	1.008	1.004
52	175.4	G04L	G	30	219.89	1.009	1.0051
53	211.38	G05R	G	30	256.01	1.0072	1.004
54	174.44	G06R	G	30	219.68	1.007	1.003
55	194.94	G07L	G	30	240.04	1.007	1.0039
56	210.02	G08L	G	30	260.03	1.009	1.0055
57	195	G09L	G	30	240.46	1.008	1.005
58	214.22	G10L	G	30	259.36	1.0084	1.005
59	202	G11R	G	30	246.71	1.0071	1.0042
60	175.51	G12R	G	30	220.82	1.008	1.0051
61	210.69	G13L	G	30	255.31	1.0072	1.0048
62	194.96	G14R	G	30	239.48	1.0082	1.005
63	211.19	G15R	G	30	256.62	1.0078	1.0043
64	194.88	G16R	G	30	247.44	1.011	1.005
65	201.96	G17R	G	30	246.75	1.0087	1.0043
66	210.34	G18R	G	30	259.89	1.0082	1.0047
67	195.53	G19L	G	30	240.25	1.0083	1.0045
68	213.73	G20L	G	30	255.42	1.009	1.006
69	175.4	G21L	G	30	220.55	1.0085	1.005
70	194.94	G22L	G	30	239.18	1.0094	1.0055
71	210.02	G23L	G	30	259.13	1.009	1.0058
72	195	G24R	G	30	239.49	1.008	1.004
73	175.4	G01R	G	45	220.44	1.01	1.006
74	212.18	G02L	G	45	256.9	1.009	1.0051
75	215.1	G03	G	45	260.31	1.008	1.0032
76	195	G04L	G	45	240.86	1.008	1.0045
77	214.22	G05R	G	45	258.94	1.008	1.004
78	202	G06R	G	45	246.8	1.0072	1.0035
79	175.51	G07L	G	45	220.78	1.007	1.004
80	210.69	G08L	G	45	255.84	1.0089	1.0055
81	194.96	G09L	G	45	240.21	1.0088	1.0052
82	211.19	G10L	G	45	256.31	1.0091	1.006
83	194.88	G11R	G	45	239.7	1.0072	1.005
84	201.96	G12R	G	45	246.98	1.0081	1.0052
85	210.34	G13L	G	45	259.61	1.0081	1.0051
86	195.53	G14R	G	45	240.81	1.0089	1.0055
87	213.73	G15R	G	45	255.03	1.008	1.0042
88	175.4	G16R	G	45	220.24	1.0096	1.0045
89	212.18	G17R	G	45	257.15	1.0092	1.0055
90	215.1	G18R	G	45	254.54	1.0085	1.0052
91	201.75	G19L	G	45	246.38	1.0085	1.0051
92	214.79	G20L	G	45	258.38	1.01	1.0067
93	202.06	G21L	G	45	246.72	1.0093	1.006
94	175.51	G22L	G	45	220.16	1.0105	1.007
95	210.69	G23L	G	45	254.83	1.01	1.0072
96	194.96	G24R	G	45	239.73	1.008	1.0043
97	202.06	G01R	G	100	246.62	1.0113	1.008
98	211.38	G02L	G	100	255.9	1.011	1.007
99	174.44	G03	G	100	219.07	1.011	1.007
100	194.96	G04L	G	100	240.07	1.01	1.007
101	211.19	G05R	G	100	256.11	1.0103	1.0075
102	194.88	G06R	G	100	239.78	1.009	1.006
103	201.96	G07L	G	100	247.05	1.01	1.0067
104	210.34	G08L	G	100	254.92	1.011	1.0081
105	195.53	G09L	G	100	240.56	1.0105	1.0072
106	213.73	G10L	G	100	259.01	1.01	1.0071
107	175.4	G11R	G	100	220.14	1.0095	1.0067
108	212.18	G12R	G	100	256.55	1.0102	1.0082
109	215.1	G13L	G	100	254.95	1.0092	1.0068
110	201.75	G14R	G	100	246.55	1.007	1.0118
111	214.79	G15R	G	100	258.4	1.011	1.0072
112	202.06	G16R	G	100	246.77	1.0103	1.0057
113	211.38	G17R	G	100	258.83	1.0111	1.0072
114	174.44	G18R	G	100	218.55	1.011	1.008
115	194.94	G19L	G	100	239.26	1.0122	1.0085
116	210.02	G20L	G	100	259.49	1.0125	1.0089
117	195	G21L	G	100	239.13	1.0128	1.01
118	201.96	G22L	G	100	246.15	1.0123	1.0085
119	210.34	G23L	G	100	258.49	1.014	1.01
120	195.53	G24R	G	100	240.44	1.0097	1.0067
121	195	G01R	G	125	240.13	1.0113	1.0081
122	214.22	G02L	G	125	259.27	1.01	1.0067
123	195.53	G04L	G	125	240.23	1.01	1.007
124	213.73	G05R	G	125	258.98	1.0101	1.007
125	175.4	G06R	G	125	220.8	1.0092	1.0061
126	212.18	G07L	G	125	257.77	1.011	1.007
127	215.1	G08L	G	125	260.11	1.01	1.007
128	201.75	G09L	G	125	246.99	1.0101	1.0062
129	214.79	G10L	G	125	259.87	1.0104	1.0079
130	202.06	G11R	G	125	247.15	1.0105	1.0081
131	211.38	G12R	G	125	259.33	1.0105	1.0073
