Date	Plot	Plant	Water	Nitrogen	Standard	12cm	25cm	50cm	75cm	100cm	125cm	150cm	175cm	200cm
1/08/2011	G01RXX	G	X	X	12577	2.4	5	8.77	14.67	17.08				
1/08/2011	G02LAX	G	A	X	12577	2.65	6.69	9.42	14	17.84				
1/08/2011	G03LRX	G	R	X	12577	3.06	4.77	8.17	13.2	17.22				
1/08/2011	G04LXX	G	X	X	12577	2.6	6.23	10.98	16.43	18.7				
1/08/2011	G05RRX	G	R	X	12577	2.28	5.51	8.7	15.42	18.06				
1/08/2011	G06RAX	G	A	X	12577	2.92	5.64	8.72	16.82	16.92				
1/08/2011	G07LRX	G	R	X	12577	2.53	5.71	9.07	14.74	16.65				
1/08/2011	G08LXX	G	X	X	12577	2.88	6.82	12.45	16.99	18.6				
1/08/2011	G09LAX	G	A	X	12577	3.4	6.85	11.19	17.72	18.23				
1/08/2011	G10LAX	G	A	X	12577	4.88	8.16	12.15	15.36	17.94				
1/08/2011	G11RRX	G	R	X	12577	2.84	5.8	7.89	11.47	15.46				
1/08/2011	G12RXX	G	X	X	12577	2.98	6.06	9.64	15.67	18.37				
1/08/2011	G13LAX	G	A	X	12577	3.22	5.02	11.68	16.36	18.69				
1/08/2011	G14RRX	G	R	X	12577	2.12	4.83	9.56	16.35	19.93				
1/08/2011	G15RRX	G	R	X	12577	2.42	5.64	9.37	13.95	16.94				
1/08/2011	G16RXX	G	X	X	12577	3.26	6.25	9.75	14.3	16.85				
1/08/2011	G17RAX	G	A	X	12577	2.47	5.95	10.62	16.52	18.68				
1/08/2011	G18RXX	G	X	X	12577	2.94	7.03	12.04	16.61	19.28				
1/08/2011	G19LXX	G	X	X	12577	2.45	6.09	8.91	16.31	19.49				
1/08/2011	G20LRX	G	R	X	12577	2.74	6.12	9.78	12.74	14.79				
1/08/2011	G21LRX	G	R	X	12577	3.91	7.73	12.16	19.36	15.36				
1/08/2011	G22LXX	G	X	X	12577	3.1	7.7	12.83	18.54	17.59				
1/08/2011	G23LAX	G	A	X	12577	3.95	8.67	12.31	19.39	18.95				
1/08/2011	G24RAX	G	A	X	12577	4.29	7.35	8.49	12.5	17.19				
19/09/2011	G01RXX	G	X	X	12577	2.08	4.54	8.86	14.93	17.04				
19/09/2011	G02LAX	G	A	X	12577	2.15	5.88	9.25	13.19	17.31				
19/09/2011	G03LRX	G	R	X	12577	2.74	4.55	8.14	13	17.31	13.73	11.67	11.52	11.6
19/09/2011	G04LXX	G	X	X	12577	2.58	5.94	11.02	16.24	18.53				
19/09/2011	G05RRX	G	R	X	12577	1.93	4.63	8.78	15.49	18.11				
19/09/2011	G06RAX	G	A	X	12577	2.54	5.17	8.83	16.76	16.94				
19/09/2011	G07LRX	G	R	X	12577	2.49	5.25	8.94	14.69	16.55				
19/09/2011	G08LXX	G	X	X	12577	2.45	6.15	11.84	16.82	18.44				
19/09/2011	G09LAX	G	A	X	12577	3.14	6.29	11.36	17.57	17.91				
19/09/2011	G10LAX	G	A	X	12577	4.42	7.72	11.35	15.43	17.54				
19/09/2011	G11RRX	G	R	X	12577	2.64	5.12	8.07	11.59	15.35				
19/09/2011	G12RXX	G	X	X	12577	2.69	5.67	9.6	15.57	18.45				
19/09/2011	G13LAX	G	A	X	12577	2.64	4.57	10.93	16.02	18.44				
19/09/2011	G14RRX	G	R	X	12577	2.14	4.8	9.44	16.22	19.75				
19/09/2011	G15RRX	G	R	X	12577	2.17	4.98	9.26	13.71	17.18				
19/09/2011	G16RXX	G	X	X	12577	2.78	5.98	9.99	14.09	16.8				
19/09/2011	G17RAX	G	A	X	12577	2.3	5.86	10.2	15.49	18.46				
19/09/2011	G18RXX	G	X	X	12577	2.72	6.91	11.68	16.42	19.26				
19/09/2011	G19LXX	G	X	X	12577	2.17	5.05	8.88	16.05	19.74				
19/09/2011	G20LRX	G	R	X	12577	2.21	5.19	9.6	12.58	14.93				
19/09/2011	G21LRX	G	R	X	12577	3.02	6.76	11.92	19.54	15.24	15.34	12.82	13.87	14.29
19/09/2011	G22LXX	G	X	X	12577	2.55	6.19	11.68	16.87	16.02				
19/09/2011	G23LAX	G	A	X	12577	3.62	8.08	12.06	19.47	19.64				
19/09/2011	G24RAX	G	A	X	12577	3.27	6.11	7.52	10.4	15.37				
19/10/2011	G01RXX	G	X	X	12969	5.47	7.34	8.48	14.37	16.4				
19/10/2011	G02LAX	G	A	X	12969	4.78	7.99	9.37	12.93	16.68				
19/10/2011	G03LRX	G	R	X	12969	6.31	6.27	8.09	12.67	16.84	13.46	11.71	10.98	10.89
19/10/2011	G04LXX	G	X	X	12969	6.36	8.59	10.53	15.15	17.66				
19/10/2011	G05RRX	G	R	X	12969	5.53	7.13	8.6	15.1	17.24				
19/10/2011	G06RAX	G	A	X	12969	6.5	7.98	8.69	16.14	16.54				
19/10/2011	G07LRX	G	R	X	12969	5.83	7.45	8.75	14.03	16.34				
19/10/2011	G08LXX	G	X	X	12969	5.9	8.1	11.73	16.11	17.8				
19/10/2011	G09LAX	G	A	X	12969	6.09	8.24	10.95	16.76	17.35				
19/10/2011	G10LAX	G	A	X	12969	6.99	9.76	10.71	14.23	16.67				
19/10/2011	G11RRX	G	R	X	12969	6.25	7.63	7.53	11	14.74				
19/10/2011	G12RXX	G	X	X	12969	6.04	8.02	9.3	15.12	18.32				
19/10/2011	G13LAX	G	A	X	12969	3.76	5.14	10.81	15.41	17.42				
19/10/2011	G14RRX	G	R	X	12969	5.83	7.47	9.28	15.25	18.58				
19/10/2011	G15RRX	G	R	X	12969	5	7.33	8.89	13.25	16.46				
19/10/2011	G16RXX	G	X	X	12969	6.88	8.36	9.21	13.81	16.09				
19/10/2011	G17RAX	G	A	X	12969	5.09	7.07	9.99	14.79	17.54				
19/10/2011	G18RXX	G	X	X	12969	5.24	8.55	11.29	15.76	18.52				
19/10/2011	G19LXX	G	X	X	12969	5.76	8.25	8.62	15.31	18.59				
19/10/2011	G20LRX	G	R	X	12969	5.54	7.5	9.28	11.88	14.07				
19/10/2011	G21LRX	G	R	X	12969	6.65	8.69	11.72	18.38	15.26	14.63	12.21	13.26	13.94
19/10/2011	G22LXX	G	X	X	12969	6.22	8.67	11.24	16.2	15.22				
19/10/2011	G23LAX	G	A	X	12969	7.43	10.63	12.18	18.84	18.76				
19/10/2011	G24RAX	G	A	X	12969	6.93	7.73	7.13	9.89	14.81				
10/11/2011	G01RXX	G	X	X	12969	5.03	6.93	8.18	14.38	16.13				
10/11/2011	G02LAX	G	A	X	12969	4.2	6.36	8.54	12.67	16.85				
10/11/2011	G03LRX	G	R	X	12969	4.53	5.38	8.1	12.57	16.3	13.58	11.63	10.95	11.14
10/11/2011	G04LXX	G	X	X	12969	6	7.78	10.31	15.04	18.01				
10/11/2011	G05RRX	G	R	X	12969	3.92	6.3	8.68	15.12	17.7				
10/11/2011	G06RAX	G	A	X	12969	5.42	6.61	8.53	16.49	16.49				
10/11/2011	G07LRX	G	R	X	12969	4.61	6.5	8.65	14.02	16.19				
10/11/2011	G08LXX	G	X	X	12969	6.43	7.87	11.47	15.94	17.68				
10/11/2011	G09LAX	G	A	X	12969	5.45	7.25	10.76	17.09	17.35				
10/11/2011	G10LAX	G	A	X	12969	6.37	7.99	10.47	13.8	16.79				
10/11/2011	G11RRX	G	R	X	12969	4.48	6.44	7.54	11.14	14.89				
10/11/2011	G12RXX	G	X	X	12969	6.15	7.4	9.14	14.69	17.62				
10/11/2011	G13LAX	G	A	X	12969	3.27	4.23	10.09	15.15	17.46				
10/11/2011	G14RRX	G	R	X	12969	3.19	5.58	8.95	15.28	18.94				
10/11/2011	G15RRX	G	R	X	12969	3.3	5.67	8.34	12.89	16.18				
10/11/2011	G16RXX	G	X	X	12969	6.11	7.15	9.29	13.69	16.08				
10/11/2011	G17RAX	G	A	X	12969	4.57	6.13	9.42	14.62	17.47				
10/11/2011	G18RXX	G	X	X	12969	5.65	7.12	10.61	15.59	18.33				
10/11/2011	G19LXX	G	X	X	12969	4.98	7.05	8.32	15.21	18.79				
10/11/2011	G20LRX	G	R	X	12969	3.91	6.24	9.07	11.89	14.17				
10/11/2011	G21LRX	G	R	X	12969	4.42	7.24	11.63	18.36	15.02	14.52	13.84	13.3	14.04
10/11/2011	G22LXX	G	X	X	12969	6.19	8.1	10.87	16.02	15.36				
10/11/2011	G23LAX	G	A	X	12969	6.82	8.9	11.71	18.84	18.55				
10/11/2011	G24RAX	G	A	X	12969	6.06	6.72	7.04	9.93	14.61				
3/12/2011	G01RXX	G	X	X	12969	5.62	7.16	8.73	14.33	15.85	16.39	14.78	14.39	14.74
3/12/2011	G02LAX	G	A	X	12969	5.24	7.39	8.86	12.62	16.58	16.35	15.24	14.18	14.84
3/12/2011	G03LRX	G	R	X	12969	5.84	6.15	7.96	12.72	16.51	13.49	11.37	10.87	11.25
3/12/2011	G04LXX	G	X	X	12969	5.24	7.45	10.03	15.19	17.12	16.18	14.46	13.71	13.93
3/12/2011	G05RRX	G	R	X	12969	5.14	7.28	8.57	14.39	17.04	15.1	12.61	11.53	12.62
3/12/2011	G06RAX	G	A	X	12969	4.76	6.69	8.58	16.09	16.14	15.61	15.25	14.65	15.63
3/12/2011	G07LRX	G	R	X	12969	6.52	7.36	8.88	13.97	16.51	16.16	14.46	13.21	13.74
3/12/2011	G08LXX	G	X	X	12969	7.2	8.67	11.81	15.9	17.12	16.14	15.58	15.13	15.72
3/12/2011	G09LAX	G	A	X	12969	5.42	7.55	10.5	16.51	16.97	15.66	15.37	14.91	16.14
3/12/2011	G10LAX	G	A	X	12969	5.56	7.54	9.96	13.28	16.25	16.48	16.03	15.59	16.07
3/12/2011	G11RRX	G	R	X	12969	6.73	7.7	7.98	11.48	14.46	16.27	14.23	13.19	13.56
3/12/2011	G12RXX	G	X	X	12969	6.41	8.06	9.45	15.09	17.79	16.24	14.62	14.7	15.21
3/12/2011	G13LAX	G	A	X	12969	2.91	4.36	9.26	14.06	16.45	17.5	16.52	16.5	18.14
3/12/2011	G14RRX	G	R	X	12969	6.07	7.04	9.68	16.09	18.55	15.86	15.28	15.97	16.37
3/12/2011	G15RRX	G	R	X	12969	5.23	6.7	8.48	12.87	16.22	16.75	15.83	14.82	16.51
3/12/2011	G16RXX	G	X	X	12969	5.56	7.71	8.6	12.69	15.86	16.59	16.67	18.23	19.12
3/12/2011	G17RAX	G	A	X	12969	4.14	6.27	8.76	14.25	17.29	16.81	18.02	17.23	18.72
3/12/2011	G18RXX	G	X	X	12969	5.56	8.21	10.46	15.35	17.75	16.93	16.73	17.33	18.41
3/12/2011	G19LXX	G	X	X	12969	5.96	7.67	8.72	15.99	18.06	16.23	15.29	14.33	15
3/12/2011	G20LRX	G	R	X	12969	6.01	7.73	9.94	12.39	14.71	13.69	14.35	14.97	14.13
3/12/2011	G21LRX	G	R	X	12969	6.45	7.67	12.05	18.62	15.19	14.83	12.42	13.15	14.17
