Year	Treatment	Precipitation
2006-2007	Ambient	72.4
2007-2008	Ambient	223.3
2008-2009	Ambient	212.3
2009-2010	Ambient	369.3
2010-2011	Ambient	540.0
2011-2012	Ambient	250.2
2012-2013	Ambient	166.1
2013-2014	Ambient	146.3
2014-2015	Ambient	185.7
2015-2016	Ambient	284.3
2016-2017	Ambient	390.8
2006-2007	Reduced	53.3
2007-2008	Reduced	133.4
2008-2009	Reduced	115.6
2009-2010	Reduced	193.5
2010-2011	Reduced	212.6
2011-2012	Reduced	144.5
2012-2013	Reduced	113.0
2013-2014	Reduced	78.5
2014-2015	Reduced	161.3
2015-2016	Reduced	226.4
2016-2017	Reduced	215.5
2006-2007	Increased	100.8
2007-2008	Increased	305.2
2008-2009	Increased	272.8
2009-2010	Increased	507.9
2010-2011	Increased	733.9
2011-2012	Increased	328.5
2012-2013	Increased	246.2
2013-2014	Increased	198.3
2014-2015	Increased	220.5
2015-2016	Increased	353.9
2016-2017	Increased	443.0
