Date	Plot	Plant	Water	Nitrogen	Length	Output_1	Output_2	Output_3	Output_4
31/08/2009	G01LXN	G	X	N	178	0.84	0.84	0.83	0.83
31/08/2009	G01RXX	G	X	X	178	0.83	0.83	0.83	0.82
31/08/2009	G02LAX	G	A	N	179	0.84	0.82	0.83	0.82
31/08/2009	G02RAN	G	A	X	179	0.83	0.83	0.83	0.84
31/08/2009	G03LRX	G	R	X	182	0.83	0.81	0.81	0.83
31/08/2009	G03RRN	G	R	N	182	0.82	0.83	0.83	0.83
31/08/2009	G04LXX	G	X	X	182	0.83	0.83	0.83	0.84
31/08/2009	G04RXN	G	X	N	182	0.81	0.83	0.82	0.83
31/08/2009	G05LRN	G	R	N	179	0.82	0.82	0.82	0.83
31/08/2009	G05RRX	G	R	X	179	0.83	0.82	0.83	0.82
31/08/2009	G06LAN	G	A	N	179	0.82	0.82	0.82	0.81
31/08/2009	G06RAX	G	A	X	179	0.82	0.83	0.83	0.82
31/08/2009	G07LRX	G	R	X	179	0.83	0.83	0.83	0.83
31/08/2009	G07RRN	G	R	N	179	0.83	0.83	0.82	0.83
31/08/2009	G08LXX	G	X	X	188	0.84	0.83	0.83	0.81
31/08/2009	G08RXN	G	X	N	188	0.83	0.84	0.82	0.82
31/08/2009	G09LAX	G	A	X	179	0.83	0.82	0.82	0.82
31/08/2009	G09RAN	G	A	N	179	0.83	0.84	0.82	0.82
31/08/2009	G10LAX	G	A	X	179	0.83	0.83	0.82	0.82
31/08/2009	G10RAN	G	A	N	179	0.84	0.81	0.82	0.83
31/08/2009	G11LRN	G	R	N	178	0.81	0.82	0.83	0.82
31/08/2009	G11RRX	G	R	X	178	0.83	0.81	0.82	0.81
31/08/2009	G12LXN	G	X	N	178	0.82	0.83	0.83	0.83
31/08/2009	G12RXX	G	X	X	178	0.82	0.83	0.83	0.83
31/08/2009	G13LAX	G	A	X	178	0.83	0.82	0.83	0.83
31/08/2009	G13RAN	G	A	N	178	0.81	0.83	0.82	0.82
31/08/2009	G14LRN	G	R	N	179	0.82	0.82	0.83	0.82
31/08/2009	G14RRX	G	R	X	179	0.82	0.82	0.82	0.83
31/08/2009	G15LRN	G	R	N	178	0.82	0.84	0.82	0.82
31/08/2009	G15RRX	G	R	X	178	0.81	0.81	0.83	0.83
31/08/2009	G16LXN	G	X	N	174	0.83	0.83	0.82	0.82
31/08/2009	G16RXX	G	X	X	174	0.82	0.83	0.82	0.83
31/08/2009	G17LAN	G	A	N	179	0.81	0.82	0.82	0.83
31/08/2009	G17RAX	G	A	X	179	0.83	0.82	0.82	0.83
31/08/2009	G18LXN	G	X	N	179	0.82	0.82	0.82	0.82
31/08/2009	G18RXX	G	X	X	179	0.82	0.81	0.83	0.83
31/08/2009	G19LXX	G	X	X	179	0.82	0.81	0.82	0.8
31/08/2009	G19RXN	G	X	N	179	0.82	0.82	0.82	0.81
31/08/2009	G20LRX	G	R	X	179	0.83	0.81	0.82	0.82
31/08/2009	G20RRN	G	R	N	179	0.82	0.81	0.83	0.81
31/08/2009	G21LRX	G	R	X	179	0.82	0.82	0.83	0.83
31/08/2009	G21RRN	G	R	N	179	0.82	0.83	0.82	0.81
31/08/2009	G22LXX	G	X	X	186	0.83	0.84	0.8	0.83
31/08/2009	G22RXN	G	X	N	186	0.85	0.84	0.86	0.86
31/08/2009	G23LAX	G	A	X	181	0.83	0.84	0.85	0.84
31/08/2009	G23RAN	G	A	N	181	0.83	0.84	0.84	0.85
31/08/2009	G24LAN	G	A	N	174	0.83	0.82	0.82	0.8
31/08/2009	G24RAX	G	A	X	174	0.82	0.82	0.82	0.81
3/11/2009	G01LXN	G	X	N	178	0.85	0.91	0.85	0.87
3/11/2009	G01RXX	G	X	X	178	0.85	0.87	0.83	0.85
3/11/2009	G02LAX	G	A	N	179	0.86	0.85	0.85	0.83
3/11/2009	G02RAN	G	A	X	179	0.84	0.87	0.86	0.89
3/11/2009	G03LRX	G	R	X	182	0.85	0.83	0.84	0.87
3/11/2009	G03RRN	G	R	N	182	0.85	0.85	0.85	0.84
3/11/2009	G04LXX	G	X	X	182	0.85	0.86	0.84	0.84
3/11/2009	G04RXN	G	X	N	182	0.83	0.87	0.85	0.86
3/11/2009	G05LRN	G	R	N	179	0.86	0.85	0.84	0.84
3/11/2009	G05RRX	G	R	X	179	0.86	0.84	0.86	0.84
3/11/2009	G06LAN	G	A	N	179	0.85	0.84	0.85	0.85
3/11/2009	G06RAX	G	A	X	179	0.84	0.86	0.86	0.85
3/11/2009	G07LRX	G	R	X	179	0.85	0.87	0.87	0.86
3/11/2009	G07RRN	G	R	N	179	0.85	0.88	0.86	0.87
3/11/2009	G08LXX	G	X	X	188	0.87	0.86	0.86	0.83
3/11/2009	G08RXN	G	X	N	188	0.85	0.87	0.84	0.84
3/11/2009	G09LAX	G	A	X	179	0.83	0.86	0.83	0.84
3/11/2009	G09RAN	G	A	N	179	0.85	0.88	0.84	0.85
3/11/2009	G10LAX	G	A	X	179	0.84	0.86	0.83	0.84
3/11/2009	G10RAN	G	A	N	179	0.85	0.84	0.83	0.86
