> summary(glht(model_bare,lsm(pairwise ~ (Treat_W*as.factor(Year)),test=adjusted(type="holm"))))
Note: df set to 145

         Simultaneous Tests for General Linear Hypotheses

Fit: lmer(formula = bare.ground ~ (Treat_W * as.factor(Year)) + (1 |
    Block), data = df_nor)

Linear Hypotheses:
                                          Estimate Std. Error t value Pr(>|t|)
added Year2009 - ambient Year2009 == 0     3.40813    3.73816   0.912   1.0000
added Year2009 - drought Year2009 == 0    -7.15662    3.73816  -1.914   0.9389
added Year2009 - added Year2010 == 0       1.92093    3.73816   0.514   1.0000
added Year2009 - ambient Year2010 == 0     1.31027    3.73816   0.351   1.0000
added Year2009 - drought Year2010 == 0    -5.17000    3.73816  -1.383   0.9985
added Year2009 - added Year2011 == 0       4.72298    3.73816   1.263   0.9996
added Year2009 - ambient Year2011 == 0     5.96132    3.73816   1.595   0.9909
added Year2009 - drought Year2011 == 0     4.63097    3.73816   1.239   0.9997
added Year2009 - added Year2012 == 0       3.89359    3.73816   1.042   1.0000
added Year2009 - ambient Year2012 == 0     1.21520    3.73816   0.325   1.0000
added Year2009 - drought Year2012 == 0    -5.68493    3.73816  -1.521   0.9949
added Year2009 - added Year2013 == 0       5.26391    3.73816   1.408   0.9980
added Year2009 - ambient Year2013 == 0    -2.89383    3.73816  -0.774   1.0000
added Year2009 - drought Year2013 == 0   -13.31142    3.73816  -3.561   0.0630
added Year2009 - added Year2014 == 0      -0.53799    3.73816  -0.144   1.0000
added Year2009 - ambient Year2014 == 0    -3.49469    3.73816  -0.935   1.0000
added Year2009 - drought Year2014 == 0   -24.43826    3.73816  -6.538    <0.01
added Year2009 - added Year2015 == 0       3.69578    3.73816   0.989   1.0000
added Year2009 - ambient Year2015 == 0     3.08130    3.73816   0.824   1.0000
added Year2009 - drought Year2015 == 0    -5.44893    3.73816  -1.458   0.9969
ambient Year2009 - drought Year2009 == 0 -10.56475    3.73816  -2.826   0.3721
ambient Year2009 - added Year2010 == 0    -1.48720    3.73816  -0.398   1.0000
ambient Year2009 - ambient Year2010 == 0  -2.09786    3.73816  -0.561   1.0000
ambient Year2009 - drought Year2010 == 0  -8.57813    3.73816  -2.295   0.7577
ambient Year2009 - added Year2011 == 0     1.31485    3.73816   0.352   1.0000
ambient Year2009 - ambient Year2011 == 0   2.55319    3.73816   0.683   1.0000
ambient Year2009 - drought Year2011 == 0   1.22284    3.73816   0.327   1.0000
ambient Year2009 - added Year2012 == 0     0.48546    3.73816   0.130   1.0000
ambient Year2009 - ambient Year2012 == 0  -2.19293    3.73816  -0.587   1.0000
ambient Year2009 - drought Year2012 == 0  -9.09306    3.73816  -2.432   0.6599
ambient Year2009 - added Year2013 == 0     1.85578    3.73816   0.496   1.0000
ambient Year2009 - ambient Year2013 == 0  -6.30196    3.73816  -1.686   0.9829
ambient Year2009 - drought Year2013 == 0 -16.71955    3.73816  -4.473    <0.01
ambient Year2009 - added Year2014 == 0    -3.94612    3.73816  -1.056   1.0000
ambient Year2009 - ambient Year2014 == 0  -6.90282    3.73816  -1.847   0.9561
ambient Year2009 - drought Year2014 == 0 -27.84640    3.73816  -7.449    <0.01
ambient Year2009 - added Year2015 == 0     0.28764    3.73816   0.077   1.0000
ambient Year2009 - ambient Year2015 == 0  -0.32683    3.73816  -0.087   1.0000
ambient Year2009 - drought Year2015 == 0  -8.85706    3.73816  -2.369   0.7067
drought Year2009 - added Year2010 == 0     9.07755    3.73816   2.428   0.6629
drought Year2009 - ambient Year2010 == 0   8.46689    3.73816   2.265   0.7750
drought Year2009 - drought Year2010 == 0   1.98662    3.73816   0.531   1.0000
drought Year2009 - added Year2011 == 0    11.87960    3.73816   3.178   0.1752
drought Year2009 - ambient Year2011 == 0  13.11794    3.73816   3.509   0.0736
drought Year2009 - drought Year2011 == 0  11.78759    3.73816   3.153   0.1851
drought Year2009 - added Year2012 == 0    11.05021    3.73816   2.956   0.2879
drought Year2009 - ambient Year2012 == 0   8.37182    3.73816   2.240   0.7926
drought Year2009 - drought Year2012 == 0   1.47169    3.73816   0.394   1.0000
drought Year2009 - added Year2013 == 0    12.42053    3.73816   3.323   0.1212
drought Year2009 - ambient Year2013 == 0   4.26279    3.73816   1.140   0.9999
drought Year2009 - drought Year2013 == 0  -6.15480    3.73816  -1.646   0.9868
drought Year2009 - added Year2014 == 0     6.61863    3.73816   1.771   0.9710
drought Year2009 - ambient Year2014 == 0   3.66193    3.73816   0.980   1.0000
drought Year2009 - drought Year2014 == 0 -17.28164    3.73816  -4.623    <0.01
drought Year2009 - added Year2015 == 0    10.85240    3.73816   2.903   0.3209
drought Year2009 - ambient Year2015 == 0  10.23792    3.73816   2.739   0.4316
drought Year2009 - drought Year2015 == 0   1.70769    3.73816   0.457   1.0000
added Year2010 - ambient Year2010 == 0    -0.61066    3.73816  -0.163   1.0000
added Year2010 - drought Year2010 == 0    -7.09092    3.73816  -1.897   0.9441
added Year2010 - added Year2011 == 0       2.80205    3.73816   0.750   1.0000
added Year2010 - ambient Year2011 == 0     4.04040    3.73816   1.081   1.0000
added Year2010 - drought Year2011 == 0     2.71004    3.73816   0.725   1.0000
added Year2010 - added Year2012 == 0       1.97267    3.73816   0.528   1.0000
added Year2010 - ambient Year2012 == 0    -0.70573    3.73816  -0.189   1.0000
added Year2010 - drought Year2012 == 0    -7.60586    3.73816  -2.035   0.8980
added Year2010 - added Year2013 == 0       3.34298    3.73816   0.894   1.0000
added Year2010 - ambient Year2013 == 0    -4.81476    3.73816  -1.288   0.9994
